title,slug,description,shortDescription,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,boards,status,durationMinutes,views,shares,createdAt
*New* Pre-Sales BVA,new-pre-sales-bva,Choose your own adventure (BVA)! Take customer inputs and Gladly benchmarks to project what a potential 3-year impact could look like for a prospect who is considering Hero and/or Sidekick.,Value calculator for *new* pre sales,https://docs.google.com/spreadsheets/d/1BX9m4ogrOi6sA3qQtwjSm6WpGqKpT30CxJZh1nWzsvA/edit?gid=1938166837#gid=1938166837,,,,,enablement,tool,value-realization,gladly|gladly-sidekick|gladly-team|sales,enablement,published,,0,0,2025-12-28T08:20:23.496Z
201 SC Implementation Template,201-sc-implementation-template,Implementation Template 201 SC for Solutions Consultants during scoping phase.,Ready-to-use 201 sc implementatio template,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit,,,,,content,slides,template,201|impl|implementation|proposal|sc|scoping|Implementation,content,published,,0,0,2025-12-28T09:00:03.718Z
A+R Operational Tooling,a-r-operational-tooling,Forecasting and prioritization framework accelerates assists and resolutions Why It Matters: This method aligns CS resources for maximum customer impact.,Tool for a+r operational tooling,https://docs.google.com/presentation/d/1xi66eHAkaQbQLUeQ7BHRCFU08a4of1t30REdRpCJv_4/edit?slide=id.g36efe0cce60_2_55#slide=id.g36efe0cce60_2_55,,,,,coe,slides,tool,tool|customer-success|implementation|Implementation,coe,published,,0,0,2025-12-28T15:27:13.314Z
Ada Battlecard,ada-battlecard,Competitive battle card positioning Gladly Sidekick against Ada AI no-code automation platform.,Competitive positioning vs Ada,https://drive.google.com/file/d/1fnwJuqQuQt7iZDIBa3MePAfncnGF7Ee7/view,,,,,content,pdf,battlecard,ada|automation|gladly|no-code|sidekick|smb|SMB|Sidekick,content,published,,0,0,2025-12-28T09:00:03.135Z
Agent Communication Time Metric Play,agent-communication-time-play,Usage Guide for CSMs on Agent Communication Time savings metric and dashboards.,Analytics dashboard for agent communication time,https://docs.google.com/document/d/1WmWw8trPMQW0Pjedem1XZpU1BnckACMhdBs9D-fhb5I/edit,,,,,coe,document,dashboard,act|csm|dashboards|gladly|insights|metrics|sidekick|Insights|Sidekick,coe,published,,0,0,2025-12-28T09:00:03.914Z
Airline Vertical Sequence,airline-vertical-sequence,Vertical-specific outbound sequence for airline industry prospects.,Messaging framework for airline prospects,https://web.outreach.io/sequences/2156,,,,,content,document,messaging,airline|outreach|sequence|travel|vertical|Travel,content,published,,0,0,2025-12-28T09:00:03.718Z
Allbirds - 41% decrease in chat AHT,metric-allbirds-41-decrease-in-chat-aht,41% decrease in chat AHT | KPI: Average handle times | Channel: Chat | Product: Gladly Sidekick,Allbirds achieved 41% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g2699f68855f_0_168,,,,,coe,proof-point,customer-success-metric,allbirds|chat|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Allbirds - 87% of ‘cancel order’ conversations resolved,metric-allbirds-87-of-cancel-order-conversa,"87% of ‘cancel order’ conversations resolved | KPI: Contact reasons, Conversation Volume, Resolution rates | Channel: All written channels | Product: Gladly Sidekick",Allbirds achieved 87% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g2699f68855f_0_168,,,,,coe,proof-point,customer-success-metric,allbirds|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Answer Threads Kickoff Implementation Template,answer-threads-kickoff-template,Q1 FY26 Answer Threads Implementation Kickoff presentation template.,Ready-to-use answer threads kicko template,https://docs.google.com/presentation/d/1Kck65Q3II0SPTM1pFjmG3aXRyyRV6pHWfWldkXLzDYU/edit,,,,,content,slides,template,answer-threads|impl|implementation|journeys|kickoff|Implementation,content,published,,0,0,2025-12-28T09:00:03.718Z
Apollo.io Enablement,apolloio-enablement,Apollo.io integration enablement training and best practices.,Partner enablement on apollo.io enablement,https://us-5287.app.gong.io/e/c-share/?tkn=1tl7kn6trsm38i5gk6gvgcri1&email_type=external-invitation-sent&xtid=3uwe6ri6ovh1tup14af,https://us-5287.app.gong.io/e/c-share/?tkn=1tl7kn6trsm38i5gk6gvgcri1&email_type=external-invitation-sent&xtid=3uwe6ri6ovh1tup14af,,,,enablement,live-replay,partner-training,csm|customer-success|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform for Hero Technical Enablement #1,app-platform-for-hero-technical-enablement-1,Technical training #1 on App Platform capabilities for Hero agents.,Technical deep dive on app platform hero,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,,,,enablement,live-replay,technical-training,csm|customer-success|gladly-team|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform for Hero Technical Enablement #2,app-platform-for-hero-technical-enablement-2,Technical training #2 covering Hero-specific App Platform implementations.,Technical deep dive on app platform hero,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,,,,enablement,live-replay,technical-training,csm|customer-success|gladly-team|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #1,app-platform-technical-enablement-1,Technical enablement session #1 covering App Platform architecture fundamentals.,Technical deep dive on app platform technical,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #2,app-platform-technical-enablement-2,Technical enablement session #2 on App Platform integrations and workflows.,Technical deep dive on app platform technical,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #3,app-platform-technical-enablement-3,Technical enablement session #3 for advanced App Platform development.,Technical deep dive on app platform technical,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Architecture Security and Integrations Deck,architecture-security-integrations-deck,Technical presentation detailing Gladly Platform architecture security reliability and integrations.,Ready-to-use architecture security integrations te,https://docs.google.com/presentation/d/1Y5rf0oVvCpRwaDr-3cpDNHx4vNhi3NAtlpRealb2vVc/edit,,,,,content,slides,template,app-platform|architecture|integrations|security|technical|Architecture|Security|Integrations,content,published,,0,0,2025-12-28T09:00:03.135Z
Assembled Partner Enablement,assembled-partner-enablement,"This folder contains five files, primarily meeting notes, recordings, and presentation shortcuts from recent ""Enablement Hour"" sessions.",Partner enablement on assembled partner enablement,https://drive.google.com/file/d/1vaUoGDqe3YoWSkWptUqS4o12ZeAMKf_p/view?usp=drive_link,https://drive.google.com/file/d/1vaUoGDqe3YoWSkWptUqS4o12ZeAMKf_p/view?usp=drive_link,https://docs.google.com/presentation/d/1ZwI5AlctDo_xJMjxgmg5UubA-FWLZpJRVlXWHnA4lCA/edit?usp=drive_link,https://drive.google.com/drive/folders/1M_Ohrw71Bh1sRAp_AR5VvvRom-yVpxsj,,enablement,live-replay,partner-training,partner,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Asset Submission Form,asset-submission-form,Form for submitting new enablement assets and content to the CoE repository.,Best practice for asset submission form,https://docs.google.com/forms/d/e/1FAIpQLScT21C-U0bDh0wXbAYRttoNr1pZa-Dhk8UJZdmbhi3pzB7Fdw/viewform,,,,,coe,tool,internal-best-practice,internal-best-practice|sales|customer-success,coe,published,,0,0,2025-12-28T15:27:13.314Z
Automated QBR Decks,automated-qbr-decks,Process for requesting automated Quarterly Business Review slide decks.,Ready-to-use automated qbr decks template,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit,,,,,content,slides,template,automation|csm|process|qbr|reporting|Process|QBR,content,published,,0,0,2025-12-28T09:00:03.135Z
