title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,publishDate,presenter,duration
201 SC Implementation Template,201-sc-implementation-template,"This is the ""Implementation Template: 201 SC"" presentation, a customizable template intended for a Solutions Consultant to use during the scoping phase with a newly signed Gladly customer.",https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,Enablement,on-demand,product,product|on-demand|product|Template|solutions-consultant|implementation|Solutions Consultant,,,
6Sense Best Practices,6sense-best-practices,6Sense tool best practices,,,,,,Enablement,,gtm-strategy,gtm-strategy,2025-02-21,,
Answers on Voice Async Enablement,answers-on-voice-async-enablement,Voice AI async enablement,,,,,,Enablement,,product,product|Training,2025-06-01,,
Apollo.io Enablement,apolloio-enablement,Apollo.io tool training,,,,,,Enablement,,partner,partner|Training,2025-06-20,,
App Platform + Loop Returns,app-platform-loop-returns,App Platform and Loop Returns,,,,,,Enablement,,partner,partner,2024-12-19,,
App Platform Technical Enablement #1,app-platform-technical-enablement-1,Technical enablement session #1 covering App Platform architecture fundamentals.,,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,,,,Enablement,on-demand,technical,technical|on-demand|technical|Training|sales|customer-success|Sales|Customer Success,,,
App Platform Technical Enablement #2,app-platform-technical-enablement-2,Technical enablement session #2 on App Platform integrations and workflows.,,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,,,,Enablement,on-demand,technical,technical|on-demand|technical|Training|sales|customer-success|Sales|Customer Success,,,
App Platform Technical Enablement #3,app-platform-technical-enablement-3,Technical enablement session #3 for advanced App Platform development.,,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,,,,Enablement,on-demand,technical,technical|on-demand|technical|Training|sales|customer-success|Sales|Customer Success,,,
App Platform for Hero Technical Enablement #1,app-platform-for-hero-technical-enablement-1,Technical training #1 on App Platform capabilities for Hero agents.,,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,,,,Enablement,on-demand,technical,technical|on-demand|technical|Training|sales|customer-success|Sales|Customer Success,,,
App Platform for Hero Technical Enablement #2,app-platform-for-hero-technical-enablement-2,Technical training #2 covering Hero-specific App Platform implementations.,,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,,,,Enablement,on-demand,technical,technical|on-demand|technical|Training|sales|customer-success|Sales|Customer Success,,,
April GTM All Hands,april-gtm-all-hands,April GTM all hands,,,,,,Enablement,,gtm-strategy,gtm-strategy,2025-04-03,,
Assembled Partner Enablement,assembled-partner-enablement,Assembled partnership training,,,,,,Enablement,,partner,partner|Training,2025-03-15,,
Call Scripts,call-scripts,"This is an internal sales and marketing playbook, ""Internal Facing: New APEX Outbound Messaging,"" detailing Gladly's Go-To-Market (GTM) strategy for its AI agent, Sidekick.",https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit?tab=t.0#heading=h.d3hy6i1trs2l,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit?tab=t.0#heading=h.d3hy6i1trs2l,,,,Enablement,playbook,competitive,competitive|playbook|competitive|sales|Sales,,,
Customer AI Video  (30 sec),customer-ai-video-30-sec,The video highlights how Gladly's platform integrates customer AI to enhance user experience.,https://gladly.wistia.com/medias/9u1ti1dmce,https://gladly.wistia.com/medias/9u1ti1dmce,,,,Enablement,on-demand,product,product|on-demand|product|sales|customer-success|Sales|Customer Success,,,
Deal Desk SSOT,deal-desk-ssot,"The ""Deal Desk Operations (SSOT)"" document serves as the single source of truth for all sales and customer success personnel on the structure, responsibilities, and processes of the Gladly Deal Des...",https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit?tab=t.kvo8s2ytjhp7#heading=h.1l4t046pu02f,https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit?tab=t.kvo8s2ytjhp7#heading=h.1l4t046pu02f,,,,Enablement,on-demand,product,product|on-demand|product|sales|customer-success|implementation|Sales|Customer Success|Solutions Consultant,,,
DealHub Certification,dealhub-certification,"This self-led program equips you to confidently create and manage quotes in DealHub by learning how it integrates with Salesforce, automates data sync, and streamlines the quote-to-contract process.",https://classroom.google.com/w/NzM1NTM3MjkxNzQx/tc/NzY1MTYxNDE2NTEz,https://classroom.google.com/w/NzM1NTM3MjkxNzQx/tc/NzY1MTYxNDE2NTEz,,,,Enablement,course,internal-ops,internal-ops|course|internal-ops|Training|sales|Sales,,,
DealHub Module 1: DealHub 101,dealhub-module-1-dealhub-101,DealHub certification module 1 - DealHub 101,,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,,,,Enablement,course,Internal Ops,Internal Ops|course|Internal Ops|Training|sales|Sales,2025-11-01,,30
DealHub Module 2: Simple Quote Generation,dealhub-module-2-simple-quote-generation,DealHub certification module 2 - Simple Quote Generation,,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,,,,Enablement,course,Internal Ops,Internal Ops|course|Internal Ops|Training|sales|Sales,2025-11-01,,30
