_id,title,slug,description,status,publishedTo,format,teams,enablementCategory,coeType,products,audiences,contentType,competitor,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,featured,displayPriority,priority,customer,isBlindCustomer,kpiCategory,productTags,channelTag,approvedForExternal,contentHubCollections,enablementHubCollections,coeHubCollections,curatedHubCollections,publishDate,presenter,duration
D3QeIwvujt0EeHckas8Mdj,*New* Pre-Sales BVA,new-pre-sales-bva,Choose your own adventure (BVA)! Take customer inputs and Gladly benchmarks to project what a potential 3-year impact could look like for a prospect who is considering Hero and/or Sidekick.,published,coe,tool,sales,value-realization,meeting-asset,,,,,https://docs.google.com/spreadsheets/d/1BX9m4ogrOi6sA3qQtwjSm6WpGqKpT30CxJZh1nWzsvA/edit?gid=1938166837#gid=1938166837,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
D3QeIwvujt0EeHckaroucr,101 Sales Implementation Template,101-sales-implementation-template,"This is the ""Implementation Template: 101 Sales"" deck, a resource for the Sales team to quickly share Gladly’s implementation process and philosophy with a newly signed customer.",published,content,,sales|implementation,,,,,Template,,https://docs.google.com/presentation/d/1MHch8KiJuchtUqvvzda3d6H4kUPi39ixqPoUNYhIQSk/edit?usp=drive_link,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhUQa,201 SC Implementation Template,201-sc-implementation-template,"This is the ""Implementation Template: 201 SC"" presentation, a customizable template intended for a Solutions Consultant to use during the scoping phase with a newly signed Gladly customer.",published,enablement,on-demand,solutions-consultant|implementation,product,,,,Template,,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,FALSE,,50,,,,,,,,Solutions Consultant,,,,,
zPpXcTUh96XUWEn8UJhHba,301 PS Implementation Template,301-ps-implementation-template,"This is the ""Implementation Template: 301 PS,"" a Google Slides deck used by Professional Services during a customer Kickoff call.",published,content,,implementation|ps,,,,,Template,,https://docs.google.com/presentation/d/1WUXfLCKP4O1CQdoM3qbD-PyCVy5RyjZe4E6XuEGY1dQ/edit?usp=drive_link,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
D3QeIwvujt0EeHckarp0bk,6Sense Best Practices,6sense-best-practices,6Sense tool best practices,published,enablement,,,,,,,,,,,,,,,,50,,,,,,,,,,,2025-02-21,,
D3QeIwvujt0EeHckas8LAH,A+R Operational Tooling,a-r-operational-tooling,Forecasting and prioritization framework accelerates assists and resolutions Why It Matters: This method aligns CS resources for maximum customer impact.,published,coe,,customer-success|implementation,,tool,,,,,https://docs.google.com/presentation/d/1xi66eHAkaQbQLUeQ7BHRCFU08a4of1t30REdRpCJv_4/edit?slide=id.g36efe0cce60_2_55#slide=id.g36efe0cce60_2_55,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
mXsDyLN04EKCrxVbcNNeBA,AI Features Slides,ai-features-slides,"This presentation, titled ""STMP | AI Products | FY25 Q4,"" outlines the strategy and features of Gladly's AI products, detailing core components like the AI Engine and its functionalities, such as a...",published,content,,sales|customer-success,,,,,Deck,,https://docs.google.com/presentation/d/1mqnnp2wbyKhzbv_VLbqiuL5ChbWgEksOeSc7lXLRAuw/edit#slide=id.g27fbb62b23c_0_0,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
D3QeIwvujt0EeHckarratU,Ada Battlecard,ada-battlecard,"This document is a competitive battle card positioning Gladly's ""Sidekick"" against Ada AI, a no-code automation platform focused on scaling customer support with features like a visual flow builder...",published,content,,sales,,,,,,,https://drive.google.com/file/d/1fnwJuqQuQt7iZDIBa3MePAfncnGF7Ee7/view?usp=drive_link,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
mXsDyLN04EKCrxVbcO2LUM,Agent Communication Time Metric Play,agent-communication-time-metric-play,This document is a Usage Guide for Customer Success Managers (CSMs) on the Agent Communication Time (ACT) Savings metric and its related dashboards.,published,coe,,customer-success,,tool,,,,,https://docs.google.com/document/d/1WmWw8trPMQW0Pjedem1XZpU1BnckACMhdBs9D-fhb5I/edit?tab=t.0,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
zPpXcTUh96XUWEn8UJhPya,Airline Vertical Sequence,airline-vertical-sequence,Vertical-specific outbound sequence for airline industry prospects.,published,content,,sales|customer-success,,,,,Sequence,,https://web.outreach.io/sequences/2156,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhHha,Answer Threads Kickoff Implementation Template,answer-threads-kickoff-implementation-template,This document is a template presentation for the **Q1 FY26: Answer Threads Implementation Kickoff** with a customer.,published,coe,,implementation,,meeting-asset,,,Template,,https://docs.google.com/presentation/d/1Kck65Q3II0SPTM1pFjmG3aXRyyRV6pHWfWldkXLzDYU/edit#slide=id.g333874597c4_0_558,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
mXsDyLN04EKCrxVbcNNpLz,Answers on Voice Async Enablement,answers-on-voice-async-enablement,Voice AI async enablement,published,enablement,,,,,,,Training,,,,,,,,,50,,,,,,,,,,,2025-06-01,,
zPpXcTUh96XUWEn8UJhVsa,Apollo.io Enablement,apolloio-enablement,Apollo.io tool training,published,enablement,,,,,,,Training,,,,,,,,,50,,,,,,,,,,,2025-06-20,,
mXsDyLN04EKCrxVbcNNqGa,App Platform + Loop Returns,app-platform-loop-returns,App Platform and Loop Returns,published,enablement,,,,,,,,,,,,,,,,50,,,,,,,,,,,2024-12-19,,
zPpXcTUh96XUWEn8UJhHs5,App Platform Slides,app-platform-slides,"This presentation introduces Gladly's App Platform, designed to simplify tool integration and accelerate time-to-value for customers.",published,content,,sales,,,,,Deck,,https://docs.google.com/presentation/d/18TvAZs-KoYBWxobfOoVSuLHaLH4bckn6PSpM-iprlv0/edit#slide=id.g319cd228772_0_0,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhSva,App Platform Technical Enablement #1,app-platform-technical-enablement-1,Technical enablement session #1 covering App Platform architecture fundamentals.,published,enablement,on-demand,sales|customer-success,technical,,,,Training,,,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
D3QeIwvujt0EeHckarozYi,App Platform Technical Enablement #2,app-platform-technical-enablement-2,Technical enablement session #2 on App Platform integrations and workflows.,published,enablement,on-demand,sales|customer-success,technical,,,,Training,,,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
zPpXcTUh96XUWEn8UJhT95,App Platform Technical Enablement #3,app-platform-technical-enablement-3,Technical enablement session #3 for advanced App Platform development.,published,enablement,on-demand,sales|customer-success,technical,,,,Training,,,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
D3QeIwvujt0EeHckaroyr1,App Platform Templated Slides,app-platform-templated-slides,"This presentation, titled ""STMP | App Platform Slides | FY25 Q4,"" details Gladly's App Platform, focusing on its ability to offer seamless and easy integration with existing tools to solve common c...",published,content,,sales|customer-success,,,,,Template,,https://docs.google.com/presentation/d/18TvAZs-KoYBWxobfOoVSuLHaLH4bckn6PSpM-iprlv0/edit?slide=id.g365ca1e35f4_1_359#slide=id.g365ca1e35f4_1_359,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhTF5,App Platform for Hero Technical Enablement #1,app-platform-for-hero-technical-enablement-1,Technical training #1 on App Platform capabilities for Hero agents.,published,enablement,on-demand,sales|customer-success,technical,,,,Training,,,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
mXsDyLN04EKCrxVbcNNnah,App Platform for Hero Technical Enablement #2,app-platform-for-hero-technical-enablement-2,Technical training #2 covering Hero-specific App Platform implementations.,published,enablement,on-demand,sales|customer-success,technical,,,,Training,,,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
zPpXcTUh96XUWEn8UJhWwa,April GTM All Hands,april-gtm-all-hands,April GTM all hands,published,enablement,,,,,,,,,,,,,,,,50,,,,,,,,,,,2025-04-03,,
mXsDyLN04EKCrxVbcNNdvY,"Architecture, Security, and Integrations Deck",architecture-security-and-integrations-deck,"This document, titled ""STMP | Architecture & Security Slides | FY25 Q1,"" is a technical presentation detailing the Gladly Platform's architecture, security, reliability, and integrations, including...",published,content,,sales|solutions-consultant,,,,,Deck,,https://docs.google.com/presentation/d/1Y5rf0oVvCpRwaDr-3cpDNHx4vNhi3NAtlpRealb2vVc/edit#slide=id.p1,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
D3QeIwvujt0EeHckarp0Ud,Assembled Partner Enablement,assembled-partner-enablement,Assembled partnership training,published,enablement,,,,,,,Training,,,,,,,,,50,,,,,,,,,,,2025-03-15,,
D3QeIwvujt0EeHckas8M5B,Asset Submission Form,asset-submission-form,Form for submitting new enablement assets and content to the CoE repository.,published,coe,,sales|customer-success,,internal-best-practice,,,,,https://docs.google.com/forms/d/e/1FAIpQLScT21C-U0bDh0wXbAYRttoNr1pZa-Dhk8UJZdmbhi3pzB7Fdw/viewform,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
D3QeIwvujt0EeHckarotm1,Automated QBR Decks,automated-qbr-decks,"This presentation, titled ""Automating QBRs: Less Manual Work, More Impact!"", outlines the process for requesting an automated Quarterly Business Review (QBR) slide deck.",published,content,,customer-success,,,,,Deck,,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit?slide=id.g35df72a2580_0_132#slide=id.g35df72a2580_0_132,,,,,TRUE,featured,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UKB35a,BVA Intro deck for Customers,bva-intro-deck-for-customers,"This deck can supplement your discovery to introduce the exercise to prospect or customers: the BVA process, why it could benefit them, potential data required, and what sample outputs look like.",published,coe,tool,sales|customer-success,value-realization,meeting-asset,,,,,https://docs.google.com/presentation/d/1AWu9KZw2Kcc6oThj2q6FU0oXGeqavwlJ9KD3uEXyyMo/edit#slide=id.g2815936df9e_0_7,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
mXsDyLN04EKCrxVbcO2Jmy,BVA Readout template,bva-readout-template,The BVA Readout Template template helps you tell a compelling value story to a customer or prospect with financial justification!,published,coe,,sales|customer-success,,meeting-asset,,,,,https://docs.google.com/presentation/d/15ScGeoNBnZ63_RZ5eOwhDouVTCZR4l9xG1jYs8F79d0/present?slide=id.g373e63e2f84_0_373,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
zPpXcTUh96XUWEn8UKB2Ma,BVA SLA + Demo Walkthrough,bva-sla-demo-walkthrough,Live demo walkthrough of BVA SLA calculator and value metrics.,published,coe,live-replay,sales|customer-success,value-realization,meeting-asset,,,,,https://docs.google.com/presentation/d/1Xrvj5G2QH9Cz85c4F8nJKKtex4YL7MBdyUf5K4kxaFM/present?slide=id.g36729fa5026_3_52,https://drive.google.com/file/d/1Itkk6F2_Xyo697xny_TN99yQM4NscpdV/view?usp=sharing,https://docs.google.com/presentation/d/1Xrvj5G2QH9Cz85c4F8nJKKtex4YL7MBdyUf5K4kxaFM/present?slide=id.g36729fa5026_3_52,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
enable-bva-sla,BVA SLA + Live Demo Walkthrough,bva-sla-live-demo-walkthrough,New BVA Slack workflow + Walkthrough of the new demo,published,enablement|content,live-replay,"sales, customer-success",Value Realization,,Sidekick|Classic,,Training,,,https://drive.google.com/file/d/1Itkk6F2_Xyo697xny_TN99yQM4NscpdV/view,,,,FALSE,,80,,,,,,,Uncategorized,Uncategorized,,,2025-07-17,,60
battle-folder,Battlecards Drive Folder,battlecards-drive-folder,All competitive battlecards,published,content,document,sales,,,Sidekick|Classic,,Battle Card,,https://drive.google.com/drive/folders/1C4wZMF_csPSaODt6NzcGpinm4mEjruF7,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-20,,
zPpXcTUh96XUWEn8UKB24a,Birkenstock Example,birkenstock-example,"This document is a Gladly Customer Handoff Form for the Birkenstock account. It outlines the customer overview, including Birkenstock's retail industry, primary contact Nathaniel Yordan, and compan...",published,coe,,sales|implementation,,meeting-asset,,,,,https://docs.google.com/document/d/1iBOiwCrJX2BrTAPRtSklTKqoeu567j0rTB56N2nwINE/edit?tab=t.0#heading=h.2n68j0sv88so,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
mkt-pipeline-target,Bottoms Up Pipeline Target Setting,bottoms-up-pipeline-target-setting,Pipeline target setting methodology,published,content,document,sales,internal-ops,,,,,,https://docs.google.com/spreadsheets/d/1QXJX3_K2bS5LwQj-CAtEhVoC-Hwc5EkWnghYs-IrM8U/edit,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
D3QeIwvujt0EeHckarrNjX,Buyout program Deck,buyout-program-deck,"This document is a confidential, internal sales presentation template for a ""Buyout Program"" offered by Gladly.",published,content,,sales,,,,,,,https://docs.google.com/presentation/d/1cIkq1VaWWpDKbLiloUbFm0y0om6STAOwpBlBxHjjNyw/edit?slide=id.g26455bc3513_4_48#slide=id.g26455bc3513_4_48,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
mXsDyLN04EKCrxVbcNNpx4,CS - SK ROI Calculator,cs-sk-roi-calculator,CS ROI calculator training,published,enablement,,,,,,,Calculator,,,,,,,,,50,,,,,,,,,,,2025-03-01,,
mXsDyLN04EKCrxVbcNNcPs,CS Introduction Template (QUINCE),cs-introduction-template-quince,"This document is the ""Quince + Gladly Success Introduction 6.25"" presentation, outlining the kickoff of the customer success partnership between the customer service platform Gladly and the brand Q...",published,content,,customer-success,,,,,Template,,https://docs.google.com/presentation/d/18Wh79N-YB3I71kxlLcTbgOiMvo4X2YIWwq25mSRFR4w/edit?slide=id.g3623cbcd2d1_4_143#slide=id.g3623cbcd2d1_4_143,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
D3QeIwvujt0EeHckarotq5,CSM Compensation,csm-compensation,"This document is the CSM Compensation Guide for FY 2026, detailing the Customer Success Manager variable pay models for Q1, Q2, and Q3.",published,content,tool,customer-success,internal-ops,,,,,,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/edit?tab=t.9t447anjdwmn#heading=h.obkpegulbcns,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
cs-comp-guide,CSM Compensation Guide (FY2026 Q2),csm-compensation-guide-fy2026-q2,CSM compensation documentation,published,content,document,customer-success,internal-ops,,,,Guide,,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
D3QeIwvujt0EeHckarotFV,CX Benchmark Reports,cx-benchmark-reports,Industry benchmark reports comparing CX performance across retail sectors.,published,content,,sales,,,,,Report,,https://cdn.sanity.io/files/ny21dgz6/production/612a9d414bff8e7e4f647c467532b4e08c617b76.pdf,,,,,FALSE,hero,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhPma,CX Persona (Flow A) - AI forward,cx-persona-flow-a-ai-forward,CX persona outreach sequence with AI-forward messaging approach.,published,content,,sales|customer-success,,,,,,,https://web.outreach.io/sequences/2152/overview,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UJhPsa,CX Persona (Flow B) - Common pain forward,cx-persona-flow-b-common-pain-forward,CX persona outreach sequence leading with common pain points.,published,content,,sales|customer-success,,,,,,,https://web.outreach.io/sequences/2155/overview,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
