title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags\
*New* Pre-Sales BVA,new-pre-sales-bva,Choose your own adventure (BVA)! Take customer inputs and Gladly benchmarks to project what a potential 3-year impact could look like for a prospect who is considering Hero and/or Sidekick.,https://docs.google.com/spreadsheets/d/1BX9m4ogrOi6sA3qQtwjSm6WpGqKpT30CxJZh1nWzsvA/edit?gid=1938166837#gid=1938166837,,,,,CoE,tool,meeting-asset,sales|gladly|Meeting Examples\
101 Sales Implementation Template,101-sales-implementation-template,"This is the ""Implementation Template: 101 Sales"" deck, a resource for the Sales team to quickly share Gladly\'92s implementation process and philosophy with a newly signed customer.",https://docs.google.com/presentation/d/1MHch8KiJuchtUqvvzda3d6H4kUPi39ixqPoUNYhIQSk/edit?usp=drive_link,,,,,Content,document,template,sales|impl|gladly|Meeting Decks\
201 SC Implementation Template,201-sc-implementation-template,"This is the ""Implementation Template: 201 SC"" presentation, a customizable template intended for a Solutions Consultant to use during the scoping phase with a newly signed Gladly customer.",https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,,Enablement,video,product-training,sc|impl|gladly|Solutions Consultant\
301 PS Implementation Template,301-ps-implementation-template,"This is the ""Implementation Template: 301 PS,"" a Google Slides deck used by Professional Services during a customer Kickoff call.",https://docs.google.com/presentation/d/1WUXfLCKP4O1CQdoM3qbD-PyCVy5RyjZe4E6XuEGY1dQ/edit?usp=drive_link,,,,,Content,document,template,impl|ps|gladly|Meeting Decks\
6Sense Best Practices,6sense-best-practices,6Sense tool best practices,,,,,,Enablement,document,product-training,gladly\
Add Gladly to your LinkedIn Profile,add-gladly-to-your-linkedin-profile,Instructions on how to add Gladly to your LinkedIn Profile,,,,,,Enablement,link,process,gladly\
AI Content Library,ai-content-library,"A comprehensive library of AI-related content, including battlecards, FAQs, and guides for Gladly's AI features.",https://docs.google.com/document/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,Content,document,guide,ai|sales|gladly|AI Resources\
All Hands Recording 12.15,all-hands-recording-12-15,"Recording of the All Hands meeting from December 15th, covering Q4 updates and 2024 roadmap.",,https://drive.google.com/file/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/view?usp=sharing,,,,Enablement,video,meeting-recording,all-company|gladly|All Hands\
Battlecard: Salesforce,battlecard-salesforce,"Competitive battlecard for Salesforce Service Cloud, highlighting key differentiators and win themes.",https://docs.google.com/presentation/d/1pQrStUvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,Content,document,battlecard,sales|salesforce|gladly|Competitive Intel\
Brand Guidelines 2024,brand-guidelines-2024,"Official brand guidelines including logo usage, color palette, typography, and voice/tone.",https://drive.google.com/file/d/1AbCdEfGhIjKlMnOpQrStUvWxYz/view?usp=sharing,,,,,CoE,document,guide,marketing|gladly|Brand Assets\
Case Study: Warby Parker,case-study-warby-parker,How Warby Parker increased agent efficiency by 20% using Gladly.,https://gladly.com/customers/warby-parker/,,,,,Content,link,case-study,sales|marketing|gladly|Case Studies\
Competitor Newsletter - Nov 2023,competitor-newsletter-nov-2023,"Monthly update on competitor movements, pricing changes, and feature releases.",https://docs.google.com/document/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,Content,document,newsletter,sales|product|gladly|Competitive Intel\
Customer Success Handoff Process,customer-success-handoff-process,Standard operating procedure for handing off new customers from Sales to Customer Success.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,process,sales|csm|gladly|Process Docs\
Demo Script: Hero Feature,demo-script-hero-feature,Script for demonstrating the new Hero feature to prospects.,https://docs.google.com/document/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,Enablement,document,script,sales|sc|gladly|Demo Assets\
Engineering Onboarding Guide,engineering-onboarding-guide,"Comprehensive guide for new engineers joining Gladly, covering setup, architecture, and processes.",https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,guide,engineering|gladly|Onboarding\
Feature Spotlight: Sidekick,feature-spotlight-sidekick,Deep dive into the Sidekick feature capabilities and use cases.,,https://drive.google.com/file/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/view?usp=sharing,,,,Content,video,product-training,product|sales|gladly|Product Deep Dives\
Gladly Overview Deck,gladly-overview-deck,Standard corporate overview presentation for general audiences.,https://docs.google.com/presentation/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,Content,document,presentation,sales|marketing|gladly|General Decks\
